Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03,4778.14013671875,4796.64013671875,4758.169921875,4796.56005859375,2775190000,0,0
2022-01-04,4804.509765625,4818.6201171875,4774.27001953125,4793.5400390625,3641050000,0,0
2022-01-05,4787.990234375,4797.7001953125,4699.43994140625,4700.580078125,3733540000,0,0
2022-01-06,4693.39013671875,4725.009765625,4671.259765625,4696.0498046875,3371250000,0,0
2022-01-07,4697.66015625,4707.9501953125,4662.740234375,4677.02978515625,3279870000,0,0
2022-01-10,4655.33984375,4673.02001953125,4582.240234375,4670.2900390625,3621800000,0,0
2022-01-11,4669.14013671875,4714.1298828125,4638.27001953125,4713.06982421875,3421600000,0,0
2022-01-12,4728.58984375,4748.830078125,4706.7099609375,4726.35009765625,3060040000,0,0
2022-01-13,4733.56005859375,4744.1298828125,4650.2900390625,4659.02978515625,3539830000,0,0
2022-01-14,4637.990234375,4665.1298828125,4614.75,4662.85009765625,3483530000,0,0
